# Halo orbits about Earth-Moon L2, southern branch.
# Source: NASA/JPL Three-Body Periodic Orbits API, NASA/JPL Three-Body Periodic Orbits API
# Catalogue holds 1535 orbits; 5 here, picked to spread stability.
# Dimensionless units. mu is in mu.txt alongside.
# index,x,y,z,vx,vy,vz,jacobi,period,stability
0,1.0829551779304256e+00,-6.9232801936027592e-27,-2.0231744561698364e-01,9.7888791827480806e-15,-2.0102644884016102e-01,2.4744866465838822e-14,3.01517767456737,2.3834910105144469e+00,1.01524697223246
383,1.0462927802025384e+00,-1.1795411328770272e-26,-1.9493632759191945e-01,-5.0555308344938355e-15,-1.5038091629276590e-01,-1.6900505738451625e-13,3.02725907044059,1.8398047209471362e+00,1.69157918084394
767,1.1430328046132601e+00,-1.2067912059381283e-27,-1.5867031222543088e-01,5.8765882796710622e-15,-2.2220376826939378e-01,6.4595659834963681e-15,3.06102435639542,3.1353424315931888e+00,74.8618073150347
1151,1.1693640722281695e+00,-2.4763730755281418e-28,-9.6760151777927794e-02,-9.0391247254487680e-16,-1.9391736078339492e-01,6.4023650315037220e-16,3.11454583707881,3.3336235592858992e+00,297.06765821824
1534,9.8915608716985226e-01,-2.7944192888900250e-25,-1.1092405206427565e-01,-2.8840204159407149e-10,-1.3160887715572393e-02,-4.9112605853373936e-09,3.15844451715308,7.1917070181717357e-01,1.00000488534575
